141657879X;Animal's People;Indra;Sinha;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1400078776;Never Let Me Go;Kazuo;Ishiguro;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
3257064942;Saturday;Ian;McEwan;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1416546065;Falling Man;Don;DeLillo;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
151013047;The Reluctant Fundamentalist;Mohsin;Hamid;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1400095204;Half of a Yellow Sun;Chimamanda Ngozi;Adichie;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
61353469;The Kindly Ones;Jonathan;Littell;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
241961823;A Short History of Tractors in Ukrainian;Marina;Lewycka;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
802142818;The Inheritance of Loss;Kiran;Desai;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
143037749;On Beauty;Zadie;Smith;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
143112562;Against the Day;Thomas;Pynchon;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
143037897;Slow Man;J. M.;Coetzee;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1841958786;Carry Me Down;M. J.;Hyland;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1890447420;Mother's Milk;Edward;St. Aubyn;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
307277399;Measuring the World;Daniel;Kehlmann;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1859332226;Adjunct: An Undigest;Peter;Manson;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1400097029;The Sea;John;Banville;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1400032180;The Accidental;Ali;Smith;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1582346100;The Line of Beauty;Alan;Hollinghurst;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
156032708;The Red Queen;Margaret;Drabble;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
312429215;2666;Roberto;Bolano;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
075530750X;Small Island;Andrea;Levy;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1585678880;The Book about Blanche and Marie;Per Olov;Enquist;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
1400079497;The Plot Against America;Philip;Roth;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.
743250419;The Master;Colm;Tóibín;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis tempus vulputate augue, at varius mauris fermentum eu. Maecenas elit sapien, pretium non elit eu, consectetur interdum nunc. Donec arcu dolor, hendrerit et neque nec, convallis faucibus nulla. Nam congue nibh sed sagittis mollis.